Run,Route
0,74 78 87 76 83 69 83 46 91 38 82 7 62 32 71 44 58 35 45 21 41 26 44 35 25 38 4 50 18 54 25 62 22 60 24 42 18 40 13 40 7 64 2 99 37 84 54 67 54 62 41 94 58 69 68 58 64 60 71 71 
1,41 26 18 40 13 40 18 54 4 50 7 64 2 99 41 94 37 84 25 62 22 60 25 38 24 42 44 35 62 32 58 35 71 44 58 69 83 69 87 76 74 78 71 71 54 67 54 62 68 58 64 60 83 46 91 38 82 7 45 21 
2,41 26 45 21 58 35 44 35 62 32 82 7 91 38 83 46 71 71 74 78 83 69 87 76 68 58 64 60 71 44 54 62 54 67 58 69 25 62 37 84 41 94 2 99 22 60 18 54 7 64 4 50 13 40 18 40 25 38 24 42 
3,58 69 71 71 64 60 68 58 62 32 58 35 44 35 41 26 45 21 82 7 91 38 71 44 83 46 87 76 83 69 74 78 25 62 13 40 4 50 18 40 25 38 24 42 18 54 22 60 7 64 2 99 41 94 37 84 54 67 54 62 
4,18 40 25 38 24 42 62 32 91 38 83 46 82 7 41 26 45 21 44 35 58 35 54 62 64 60 68 58 71 44 71 71 83 69 87 76 74 78 54 67 58 69 41 94 37 84 2 99 7 64 25 62 22 60 18 54 4 50 13 40 
5,25 62 22 60 2 99 37 84 41 94 54 67 54 62 71 71 74 78 87 76 83 69 62 32 82 7 91 38 83 46 58 69 64 60 68 58 71 44 58 35 44 35 41 26 45 21 18 40 25 38 24 42 13 40 18 54 4 50 7 64 
6,41 26 45 21 58 35 62 32 82 7 91 38 71 44 83 46 68 58 64 60 83 69 87 76 74 78 71 71 54 67 58 69 54 62 41 94 37 84 2 99 25 62 22 60 7 64 18 54 4 50 13 40 18 40 25 38 44 35 24 42 
7,45 21 41 26 44 35 58 35 62 32 71 44 82 7 91 38 83 46 71 71 83 69 87 76 74 78 58 69 54 67 64 60 68 58 54 62 37 84 41 94 2 99 7 64 25 62 18 54 4 50 22 60 24 42 13 40 18 40 25 38 
8,18 54 4 50 18 40 13 40 25 38 54 62 54 67 58 69 74 78 71 71 87 76 83 69 64 60 68 58 91 38 83 46 71 44 82 7 62 32 58 35 44 35 41 26 45 21 24 42 7 64 2 99 41 94 37 84 25 62 22 60 
9,87 76 83 69 83 46 91 38 82 7 45 21 58 35 62 32 71 44 44 35 41 26 24 42 22 60 25 62 18 54 25 38 18 40 13 40 4 50 7 64 2 99 41 94 37 84 54 67 64 60 68 58 74 78 58 69 54 62 71 71 
10,18 54 25 62 22 60 7 64 2 99 41 94 37 84 74 78 87 76 83 69 58 69 64 60 68 58 71 71 54 67 54 62 58 35 62 32 83 46 91 38 82 7 71 44 45 21 44 35 41 26 24 42 25 38 18 40 13 40 4 50 
11,45 21 41 26 58 69 54 67 64 60 68 58 71 44 91 38 83 46 83 69 87 76 74 78 71 71 54 62 37 84 41 94 2 99 7 64 4 50 24 42 25 38 18 54 22 60 25 62 13 40 18 40 44 35 58 35 62 32 82 7 
12,83 69 71 71 37 84 41 94 2 99 7 64 22 60 25 62 18 54 13 40 4 50 18 40 24 42 25 38 41 26 44 35 45 21 58 35 62 32 71 44 68 58 64 60 87 76 74 78 58 69 54 67 54 62 82 7 91 38 83 46 
13,45 21 41 26 44 35 58 35 62 32 82 7 91 38 83 46 83 69 87 76 74 78 71 71 68 58 71 44 64 60 54 67 58 69 54 62 37 84 41 94 2 99 25 62 22 60 18 54 7 64 4 50 18 40 25 38 24 42 13 40 
14,71 44 82 7 91 38 83 46 68 58 58 69 54 67 54 62 64 60 71 71 87 76 83 69 74 78 41 94 37 84 2 99 7 64 4 50 41 26 45 21 18 54 22 60 25 62 24 42 25 38 18 40 13 40 44 35 58 35 62 32 
15,87 76 83 69 62 32 58 35 44 35 41 26 45 21 82 7 91 38 83 46 71 44 68 58 71 71 64 60 58 69 54 62 54 67 25 62 18 54 25 38 24 42 13 40 18 40 22 60 4 50 7 64 2 99 41 94 37 84 74 78 
16,82 7 83 46 71 44 68 58 64 60 58 69 54 67 54 62 58 35 62 32 45 21 41 26 44 35 18 40 25 38 24 42 18 54 13 40 4 50 7 64 22 60 25 62 37 84 41 94 2 99 71 71 74 78 87 76 83 69 91 38 
17,82 7 62 32 58 35 45 21 41 26 44 35 18 54 22 60 25 62 25 38 18 40 24 42 13 40 4 50 7 64 2 99 41 94 37 84 54 67 54 62 71 71 58 69 74 78 64 60 68 58 87 76 83 69 71 44 83 46 91 38 
18,41 26 45 21 82 7 58 35 62 32 25 38 18 40 24 42 25 62 22 60 18 54 4 50 13 40 7 64 2 99 41 94 37 84 58 69 74 78 71 71 54 67 54 62 64 60 68 58 83 69 87 76 83 46 91 38 71 44 44 35 
19,74 78 87 76 83 69 64 60 68 58 71 44 91 38 83 46 82 7 45 21 41 26 62 32 58 35 44 35 18 40 18 54 22 60 4 50 7 64 13 40 25 38 24 42 25 62 2 99 41 94 37 84 58 69 54 67 54 62 71 71 
