Run,Route
0,83 69 87 76 74 78 71 71 68 58 71 44 83 46 91 38 54 62 37 84 41 94 2 99 7 64 4 50 13 40 18 40 22 60 25 62 18 54 25 38 24 42 44 35 41 26 45 21 82 7 62 32 58 35 64 60 54 67 58 69 
1,25 38 24 42 41 26 44 35 62 32 58 35 45 21 82 7 91 38 83 46 71 44 68 58 74 78 83 69 87 76 71 71 64 60 54 62 58 69 54 67 37 84 2 99 41 94 25 62 22 60 7 64 18 54 13 40 4 50 18 40 
2,91 38 83 46 83 69 87 76 74 78 71 71 54 67 58 69 64 60 68 58 54 62 37 84 41 94 2 99 18 54 22 60 25 62 24 42 25 38 13 40 4 50 7 64 18 40 44 35 41 26 45 21 82 7 62 32 58 35 71 44 
3,87 76 83 69 64 60 68 58 71 44 83 46 91 38 82 7 62 32 58 35 44 35 41 26 45 21 54 62 54 67 58 69 37 84 41 94 2 99 7 64 4 50 18 40 25 38 24 42 13 40 25 62 18 54 22 60 71 71 74 78 
4,83 69 83 46 91 38 82 7 62 32 71 44 68 58 64 60 71 71 54 62 58 69 54 67 37 84 41 94 2 99 7 64 4 50 22 60 25 62 18 54 13 40 18 40 24 42 25 38 41 26 45 21 44 35 58 35 87 76 74 78 
5,2 99 41 94 37 84 64 60 83 69 87 76 74 78 71 71 68 58 71 44 58 35 62 32 82 7 91 38 83 46 54 62 58 69 54 67 25 62 22 60 4 50 13 40 18 40 24 42 25 38 41 26 45 21 44 35 18 54 7 64 
6,83 69 87 76 74 78 37 84 41 94 2 99 7 64 22 60 25 62 18 54 4 50 13 40 25 38 44 35 18 40 24 42 41 26 45 21 58 35 62 32 82 7 91 38 83 46 71 44 54 62 54 67 58 69 68 58 64 60 71 71 
7,22 60 54 62 64 60 68 58 83 46 71 44 62 32 91 38 82 7 58 35 41 26 45 21 44 35 54 67 58 69 74 78 87 76 83 69 71 71 37 84 41 94 2 99 7 64 4 50 13 40 18 40 25 38 24 42 18 54 25 62 
8,68 58 71 71 87 76 83 69 74 78 58 69 64 60 54 62 54 67 37 84 41 94 2 99 7 64 22 60 25 62 18 54 4 50 13 40 25 38 18 40 24 42 41 26 45 21 44 35 62 32 83 46 71 44 58 35 82 7 91 38 
9,25 38 13 40 4 50 7 64 2 99 41 94 37 84 58 69 71 71 74 78 87 76 83 69 91 38 71 44 54 62 54 67 68 58 64 60 83 46 58 35 62 32 82 7 45 21 41 26 44 35 25 62 22 60 18 54 18 40 24 42 
10,82 7 91 38 71 44 83 69 71 71 54 62 64 60 68 58 83 46 87 76 74 78 58 69 54 67 41 94 37 84 2 99 18 54 25 62 22 60 7 64 4 50 13 40 24 42 25 38 18 40 44 35 41 26 45 21 58 35 62 32 
11,71 71 87 76 83 69 74 78 71 44 83 46 91 38 82 7 62 32 45 21 41 26 44 35 25 38 24 42 18 40 13 40 4 50 7 64 2 99 37 84 41 94 22 60 18 54 25 62 58 35 54 62 54 67 58 69 64 60 68 58 
12,2 99 7 64 22 60 25 62 18 54 4 50 18 40 13 40 25 38 24 42 44 35 41 26 45 21 82 7 62 32 58 35 71 44 91 38 83 46 74 78 87 76 83 69 71 71 58 69 54 62 64 60 54 67 68 58 37 84 41 94 
13,44 35 13 40 18 40 24 42 25 38 18 54 4 50 7 64 22 60 25 62 2 99 37 84 41 94 54 67 58 69 54 62 68 58 64 60 83 46 87 76 83 69 74 78 71 71 71 44 91 38 82 7 58 35 62 32 45 21 41 26 
14,2 99 37 84 41 94 54 67 64 60 71 44 62 32 54 62 58 69 68 58 71 71 74 78 87 76 83 69 83 46 91 38 82 7 58 35 45 21 41 26 44 35 25 38 24 42 13 40 18 40 4 50 7 64 18 54 22 60 25 62 
15,18 40 4 50 13 40 25 38 24 42 44 35 41 26 45 21 58 35 62 32 82 7 91 38 83 46 71 44 64 60 83 69 87 76 68 58 74 78 71 71 54 62 58 69 54 67 37 84 41 94 2 99 18 54 22 60 25 62 7 64 
16,87 76 41 94 37 84 2 99 7 64 4 50 13 40 18 54 25 62 22 60 18 40 24 42 25 38 44 35 41 26 45 21 58 35 62 32 82 7 71 44 64 60 54 62 58 69 54 67 74 78 71 71 68 58 83 46 91 38 83 69 
17,58 69 54 62 71 44 83 46 91 38 82 7 62 32 45 21 44 35 58 35 41 26 25 38 24 42 18 40 13 40 18 54 22 60 25 62 4 50 7 64 2 99 41 94 37 84 54 67 64 60 68 58 71 71 74 78 87 76 83 69 
18,41 26 45 21 82 7 91 38 83 46 71 44 62 32 58 35 83 69 87 76 74 78 54 62 64 60 68 58 71 71 54 67 58 69 37 84 41 94 2 99 7 64 22 60 25 62 18 54 18 40 13 40 4 50 25 38 24 42 44 35 
19,91 38 82 7 45 21 41 26 44 35 62 32 58 35 68 58 64 60 58 69 41 94 37 84 2 99 7 64 4 50 24 42 25 38 18 40 13 40 18 54 22 60 25 62 54 62 54 67 71 71 74 78 83 69 87 76 71 44 83 46 
