Run,Route
0,54 38 62 35 70 64 62 48 40 60 35 51 30 50 41 46 45 42 38 33 36 26 15 14 15 5 45 35 50 15 59 5 50 4 54 10 60 15 65 27 62 24 55 20 22 22 21 48 20 30 21 36 26 29 48 21 40 37 44 13 36 6 16 19 26 13 30 20 40 20 35 16 12 17 11 28 6 25 27 24 10 70 35 60 26 59 30 60 31 76 40 66 33 44 66 14 52 26 43 26 50 30 55 34 67 41 55 57 62 57 57 72 55 65 50 50 51 42 50 40 47 66 50 70 17 64 15 56 22 53 9 56 33 34 66 8 64 4 12 38 7 43 21 45 29 39 55 50 55 45 
1,62 57 41 46 21 36 26 29 27 24 44 13 36 6 15 5 12 17 59 5 60 15 62 24 65 27 35 51 40 66 50 70 57 72 70 64 55 45 51 42 45 42 50 40 45 35 33 44 43 26 33 34 29 39 40 60 47 66 55 65 20 30 6 25 9 56 15 56 26 59 10 70 31 76 11 28 15 14 35 16 55 34 52 26 50 15 50 4 66 8 66 14 64 4 48 21 50 30 67 41 55 20 40 20 30 20 26 13 16 19 21 48 22 53 30 60 35 60 30 50 62 48 54 38 62 35 54 10 38 33 40 37 36 26 22 22 12 38 7 43 17 64 21 45 50 50 55 57 55 50 
2,21 48 15 14 12 17 15 5 7 43 9 56 15 56 30 50 62 57 55 65 55 57 67 41 66 14 54 10 48 21 52 26 55 20 62 24 11 28 22 22 27 24 45 35 50 40 41 46 51 42 33 44 40 66 31 76 26 59 45 42 35 51 29 39 21 45 22 53 12 38 20 30 6 25 16 19 55 45 65 27 60 15 44 13 35 16 36 26 43 26 40 37 54 38 50 30 62 48 70 64 40 60 30 60 10 70 26 29 30 20 40 20 36 6 26 13 21 36 33 34 38 33 50 15 66 8 50 4 59 5 64 4 62 35 55 34 55 50 50 50 57 72 47 66 50 70 35 60 17 64 
3,33 34 15 56 17 64 21 48 21 36 12 38 38 33 62 35 52 26 36 26 22 22 27 24 26 13 12 17 15 5 26 29 30 50 22 53 21 45 33 44 29 39 41 46 54 38 65 27 48 21 36 6 44 13 60 15 66 14 66 8 64 4 16 19 35 16 30 20 11 28 10 70 9 56 30 60 26 59 35 60 35 51 47 66 55 45 40 20 59 5 50 15 15 14 20 30 6 25 7 43 31 76 57 72 50 70 50 50 70 64 55 65 55 57 40 60 40 66 55 50 62 48 62 57 62 24 55 20 50 4 54 10 55 34 50 30 45 42 45 35 51 42 50 40 67 41 43 26 40 37 
4,70 64 57 72 55 57 40 20 31 76 47 66 55 65 62 35 45 42 45 35 52 26 35 16 43 26 62 24 55 34 26 13 15 14 54 10 48 21 30 20 36 26 62 57 55 50 50 50 35 51 41 46 44 13 36 6 15 5 6 25 26 29 27 24 33 34 33 44 21 48 26 59 10 70 9 56 11 28 12 17 16 19 22 22 38 33 65 27 55 20 50 15 66 14 66 8 64 4 50 4 60 15 59 5 54 38 50 40 51 42 55 45 62 48 67 41 50 30 40 37 21 36 20 30 12 38 15 56 7 43 30 50 30 60 40 60 40 66 35 60 22 53 21 45 29 39 17 64 50 70 
5,27 24 12 17 11 28 21 36 40 37 45 42 50 4 59 5 66 8 55 20 48 21 36 6 50 30 43 26 30 50 21 48 17 64 26 59 41 46 35 51 44 13 15 5 15 14 16 19 33 44 55 57 35 60 62 57 62 24 60 15 54 10 66 14 64 4 50 15 52 26 36 26 33 34 29 39 22 53 12 38 10 70 9 56 21 45 6 25 7 43 15 56 40 60 70 64 50 70 30 60 31 76 57 72 55 45 45 35 54 38 50 40 50 50 51 42 62 48 65 27 62 35 55 34 55 50 40 66 47 66 55 65 67 41 38 33 26 29 20 30 22 22 26 13 40 20 30 20 35 16 
6,22 22 30 20 36 26 33 44 35 51 50 40 45 35 51 42 50 50 40 37 41 46 26 59 40 66 35 60 55 50 55 45 67 41 55 34 54 38 48 21 50 15 44 13 66 8 59 5 62 35 62 48 62 57 55 57 45 42 16 19 12 17 15 14 55 20 50 30 52 26 50 4 54 10 30 60 47 66 70 64 50 70 40 60 55 65 57 72 31 76 9 56 21 36 21 48 22 53 15 56 29 39 38 33 65 27 66 14 60 15 64 4 33 34 20 30 26 29 21 45 43 26 40 20 62 24 30 50 17 64 10 70 7 43 12 38 6 25 11 28 15 5 27 24 35 16 36 6 26 13 
7,64 4 55 20 40 37 55 34 21 45 38 33 44 13 50 15 52 26 50 70 57 72 40 66 47 66 55 65 70 64 29 39 20 30 22 22 16 19 12 17 15 14 26 13 15 5 21 36 11 28 50 50 35 60 30 60 26 59 31 76 33 44 55 45 55 57 51 42 55 50 62 48 50 40 50 30 62 24 45 35 45 42 33 34 27 24 26 29 30 50 35 51 54 38 41 46 22 53 17 64 10 70 9 56 21 48 7 43 30 20 35 16 36 26 67 41 62 57 40 60 15 56 12 38 6 25 36 6 59 5 50 4 54 10 66 8 48 21 43 26 40 20 65 27 62 35 66 14 60 15 
8,45 42 51 42 48 21 26 29 55 57 40 66 50 50 6 25 12 38 15 14 35 16 30 20 26 13 15 5 50 70 31 76 47 66 40 37 45 35 50 40 55 50 55 45 54 38 67 41 62 57 70 64 57 72 55 65 62 48 50 4 64 4 50 15 54 10 59 5 66 8 20 30 11 28 12 17 16 19 22 22 40 20 27 24 33 34 36 6 44 13 52 26 55 34 62 35 62 24 65 27 50 30 41 46 30 50 10 70 17 64 26 59 29 39 21 36 21 45 7 43 9 56 21 48 15 56 40 60 30 60 35 60 22 53 35 51 38 33 55 20 60 15 66 14 43 26 36 26 33 44 
9,62 24 40 20 15 14 7 43 17 64 10 70 21 45 22 53 35 51 21 36 27 24 35 16 38 33 50 40 50 30 43 26 59 5 66 14 50 15 48 21 11 28 12 38 16 19 12 17 6 25 26 29 29 39 20 30 30 20 36 6 54 10 33 34 21 48 30 60 30 50 55 65 50 70 47 66 70 64 55 50 54 38 55 45 51 42 62 35 60 15 45 35 36 26 55 34 33 44 15 56 9 56 26 59 31 76 57 72 55 57 62 57 41 46 40 66 40 60 35 60 40 37 45 42 26 13 15 5 22 22 44 13 50 4 64 4 66 8 55 20 52 26 50 50 62 48 67 41 65 27 
10,55 20 52 26 45 42 54 38 62 35 60 15 59 5 36 6 40 20 54 10 64 4 66 8 50 15 48 21 55 34 50 40 62 57 70 64 35 51 55 45 38 33 33 34 36 26 43 26 29 39 20 30 21 36 35 16 44 13 50 4 65 27 51 42 55 57 31 76 10 70 30 60 41 46 26 59 21 48 21 45 9 56 15 56 30 50 33 44 26 29 22 22 26 13 11 28 6 25 7 43 12 38 17 64 22 53 27 24 40 37 55 50 62 24 50 30 16 19 15 14 12 17 15 5 30 20 45 35 40 66 50 70 40 60 47 66 35 60 50 50 62 48 67 41 57 72 55 65 66 14 
11,50 40 52 26 55 34 54 38 55 57 50 70 47 66 62 35 48 21 55 20 62 24 60 15 59 5 66 8 64 4 66 14 65 27 43 26 15 5 27 24 26 29 22 22 21 45 21 48 17 64 9 56 11 28 16 19 21 36 30 20 12 17 20 30 29 39 40 66 40 60 62 57 55 45 35 16 40 20 36 6 26 13 15 14 6 25 7 43 22 53 38 33 35 51 12 38 10 70 15 56 26 59 35 60 67 41 62 48 44 13 54 10 50 15 50 4 36 26 33 34 45 42 33 44 31 76 70 64 55 65 57 72 30 60 30 50 40 37 41 46 50 50 51 42 55 50 50 30 45 35 
12,38 33 43 26 50 30 52 26 27 24 7 43 9 56 11 28 29 39 21 36 40 37 51 42 55 45 55 34 55 50 62 57 50 40 40 20 20 30 6 25 12 38 26 29 12 17 22 22 15 14 16 19 15 5 44 13 48 21 55 20 36 26 22 53 10 70 33 34 30 50 17 64 15 56 21 48 21 45 26 59 64 4 59 5 50 4 36 6 35 16 26 13 30 20 62 24 60 15 50 15 65 27 66 14 66 8 54 10 54 38 67 41 62 35 45 35 33 44 50 70 47 66 35 60 40 60 50 50 41 46 35 51 45 42 55 65 62 48 70 64 57 72 55 57 40 66 31 76 30 60 
13,50 30 55 45 36 26 55 34 55 20 44 13 50 15 22 22 6 25 9 56 31 76 10 70 17 64 7 43 22 53 15 56 26 59 35 60 30 50 30 60 50 70 47 66 57 72 70 64 55 57 62 48 41 46 35 51 30 20 33 34 16 19 36 6 35 16 50 4 43 26 38 33 29 39 21 45 21 48 33 44 51 42 62 24 54 38 55 50 50 50 45 42 40 37 20 30 15 14 12 17 11 28 26 29 27 24 21 36 12 38 64 4 66 8 65 27 60 15 40 20 15 5 26 13 45 35 52 26 67 41 62 57 40 60 40 66 55 65 50 40 62 35 66 14 59 5 54 10 48 21 
14,50 40 55 50 41 46 11 28 16 19 15 14 21 45 29 39 40 37 30 60 35 60 15 56 17 64 6 25 12 17 27 24 33 34 22 53 10 70 31 76 9 56 7 43 30 50 33 44 38 33 59 5 64 4 54 10 50 4 30 20 22 22 21 36 26 29 20 30 12 38 50 30 66 8 62 24 45 35 36 26 26 13 15 5 48 21 43 26 51 42 45 42 52 26 65 27 66 14 55 20 50 15 44 13 36 6 35 16 40 20 60 15 62 35 55 34 54 38 55 57 50 50 62 57 70 64 40 66 40 60 47 66 50 70 67 41 62 48 55 45 35 51 55 65 57 72 26 59 21 48 
15,21 48 9 56 10 70 17 64 26 59 30 60 55 65 62 57 55 50 51 42 62 24 65 27 50 30 43 26 41 46 35 51 40 66 40 60 33 44 30 50 15 56 45 42 57 72 55 57 66 14 64 4 50 4 60 15 66 8 59 5 55 20 52 26 54 38 55 34 45 35 50 40 31 76 47 66 50 50 55 45 62 35 67 41 54 10 15 5 22 22 27 24 15 14 29 39 33 34 40 37 26 29 36 6 36 26 7 43 6 25 12 17 16 19 20 30 12 38 62 48 70 64 50 70 40 20 44 13 50 15 48 21 38 33 30 20 26 13 35 16 11 28 21 36 21 45 35 60 22 53 
16,26 59 21 36 26 29 12 17 20 30 35 51 9 56 31 76 57 72 67 41 62 35 55 20 50 30 55 34 55 50 40 66 40 60 7 43 12 38 6 25 15 5 15 14 16 19 30 20 27 24 40 20 11 28 15 56 17 64 10 70 30 50 21 45 29 39 22 53 36 26 35 16 26 13 44 13 54 38 55 45 62 48 50 50 55 65 30 60 35 60 47 66 33 34 48 21 62 24 65 27 60 15 66 14 43 26 50 15 50 4 54 10 52 26 62 57 55 57 70 64 50 70 51 42 50 40 22 22 36 6 64 4 66 8 59 5 40 37 38 33 45 35 41 46 45 42 33 44 21 48 
