Generation,Individual,x1,x2,Fitness
0,0,-0.414208,-1.495508,40.986105
0,1,2.050951,-2.164930,14.307199
0,2,-0.044207,-1.483221,22.529656
0,3,0.198793,0.459264,26.762461
0,4,0.331685,0.025223,15.146006
0,5,0.583799,0.149333,23.097019
0,6,0.231150,0.716132,21.496580
0,7,2.486073,0.382301,43.676345
0,8,-2.175321,0.517828,30.415566
0,9,2.470670,0.004638,25.939155
0,10,-0.014477,-3.032385,9.443224
0,11,1.711269,0.041434,15.676696
0,12,-0.249066,-0.016636,10.058199
0,13,0.021120,0.497704,20.335035
0,14,-0.751671,-1.876098,16.860087
0,15,-0.267209,0.655354,27.182442
0,16,0.209871,0.223739,15.956841
0,17,-0.004890,0.378407,17.368736
0,18,-0.467372,-2.688672,40.996659
0,19,-0.544685,0.206820,27.267960
0,20,1.025675,1.487391,23.362820
0,21,0.181921,-1.049386,7.463619
0,22,0.442751,-1.067632,21.585261
0,23,0.000227,-0.028620,0.162084
0,24,-1.931197,-0.274328,16.247385
0,25,-0.406365,-1.023222,19.637090
0,26,0.845933,-0.457312,24.897973
0,27,-1.002205,-2.782719,16.707550
0,28,-1.023113,3.348661,28.175117
0,29,-0.493971,-4.503263,60.514111
0,30,-0.533164,0.161790,24.831145
0,31,-0.005042,1.176190,6.915303
0,32,-1.082732,0.425017,21.584421
0,33,-0.029954,0.202649,7.287117
0,34,2.820510,4.725732,47.519974
0,35,-0.389551,0.375633,35.079113
0,36,-4.154545,0.071086,22.601854
0,37,1.230426,0.033970,10.515232
0,38,1.002522,0.037460,1.283424
0,39,1.508601,-1.448131,43.831982
0,40,1.083158,3.144259,16.228054
0,41,1.486453,-2.838826,34.936424
0,42,-0.542775,0.530416,40.034885
0,43,-0.548701,-3.617999,50.301629
0,44,-0.512880,4.014056,36.381942
0,45,0.802152,2.074762,12.812768
0,46,-0.565465,-1.195028,27.528016
0,47,3.372452,3.097918,39.761106
0,48,-4.517545,-4.904088,66.159123
0,49,-3.687932,2.202381,39.305524
1,0,-0.038207,-0.249799,10.338011
1,1,3.268698,-0.375014,39.068817
1,2,0.238721,0.064136,10.154017
1,3,-0.428731,1.738580,32.937417
1,4,1.415927,0.624370,38.130632
1,5,1.201330,0.038280,8.721931
1,6,-0.135078,-0.042780,3.769726
1,7,0.983941,0.550650,20.820078
1,8,-2.696248,-0.913087,22.871365
1,9,0.495335,-2.467421,46.120455
1,10,-0.040574,0.215562,8.224348
1,11,4.096497,1.273049,31.627536
1,12,1.471241,-0.028064,22.157581
1,13,0.016597,-1.274694,13.224791
1,14,-2.014853,-4.009819,20.200821
1,15,1.432579,1.683433,38.063945
1,16,0.624839,-0.294721,30.328546
1,17,-0.025687,0.110596,2.461656
1,18,-0.928888,1.432604,23.013609
