54 67,64 60,58 69,41 94,4 50,13 40,44 35,45 21,25 38,37 84,22 60,82 7,62 32,54 62,83 69,83 46,71 71,7 64,18 54,24 42,2 99,71 44,87 76,74 78,68 58,25 62,18 40,41 26,58 35,91 38,
58 35,62 32,82 7,41 26,45 21,83 46,91 38,64 60,58 69,74 78,71 71,87 76,83 69,68 58,71 44,25 38,24 42,18 40,25 62,22 60,18 54,13 40,4 50,7 64,2 99,41 94,37 84,54 67,54 62,44 35,
58 35,62 32,82 7,41 26,45 21,83 46,91 38,64 60,58 69,74 78,71 71,87 76,83 69,68 58,71 44,25 38,24 42,18 40,25 62,22 60,18 54,13 40,4 50,7 64,2 99,41 94,37 84,54 67,54 62,44 35,
58 35,62 32,82 7,41 26,45 21,83 46,91 38,64 60,58 69,74 78,71 71,87 76,83 69,68 58,71 44,25 38,24 42,18 40,25 62,22 60,18 54,13 40,4 50,7 64,2 99,41 94,37 84,54 67,54 62,44 35,
45 21,25 38,24 42,4 50,7 64,54 62,58 69,54 67,64 60,71 44,83 46,91 38,82 7,62 32,58 35,41 26,18 40,13 40,18 54,22 60,25 62,2 99,41 94,37 84,83 69,87 76,74 78,71 71,68 58,44 35,
45 21,25 38,24 42,4 50,7 64,54 62,58 69,54 67,64 60,71 44,83 46,91 38,82 7,62 32,58 35,41 26,18 40,13 40,18 54,22 60,25 62,2 99,41 94,37 84,83 69,87 76,74 78,71 71,68 58,44 35,
45 21,25 38,24 42,4 50,7 64,54 62,58 69,54 67,64 60,71 44,83 46,91 38,82 7,62 32,58 35,41 26,18 40,13 40,18 54,22 60,25 62,2 99,41 94,37 84,83 69,87 76,74 78,71 71,68 58,44 35,
45 21,25 38,24 42,4 50,7 64,54 62,58 69,54 67,64 60,71 44,83 46,91 38,82 7,62 32,58 35,41 26,18 40,13 40,18 54,22 60,25 62,2 99,41 94,37 84,83 69,87 76,74 78,71 71,68 58,44 35,
45 21,25 38,24 42,4 50,7 64,54 62,58 69,54 67,64 60,71 44,83 46,91 38,82 7,62 32,58 35,41 26,18 40,13 40,18 54,22 60,25 62,2 99,41 94,37 84,83 69,87 76,74 78,71 71,68 58,44 35,
83 69,74 78,87 76,25 62,22 60,18 54,24 42,44 35,41 26,45 21,82 7,91 38,83 46,71 44,62 32,58 35,25 38,18 40,13 40,4 50,7 64,2 99,37 84,41 94,71 71,54 67,54 62,58 69,64 60,68 58,
83 69,74 78,87 76,25 62,22 60,18 54,24 42,44 35,41 26,45 21,82 7,91 38,83 46,71 44,62 32,58 35,25 38,18 40,13 40,4 50,7 64,2 99,37 84,41 94,71 71,54 67,54 62,58 69,64 60,68 58,
83 69,74 78,87 76,25 62,22 60,18 54,24 42,44 35,41 26,45 21,82 7,91 38,83 46,71 44,62 32,58 35,25 38,18 40,13 40,4 50,7 64,2 99,37 84,41 94,71 71,54 67,54 62,58 69,64 60,68 58,
83 69,74 78,87 76,25 62,22 60,18 54,24 42,44 35,41 26,45 21,82 7,91 38,83 46,71 44,62 32,58 35,25 38,18 40,13 40,4 50,7 64,2 99,37 84,41 94,71 71,54 67,54 62,58 69,64 60,68 58,
83 69,74 78,87 76,25 62,22 60,18 54,24 42,44 35,41 26,45 21,82 7,91 38,83 46,71 44,62 32,58 35,25 38,18 40,13 40,4 50,7 64,2 99,37 84,41 94,71 71,54 67,54 62,58 69,64 60,68 58,
83 69,74 78,87 76,25 62,22 60,18 54,24 42,44 35,41 26,45 21,82 7,91 38,83 46,71 44,62 32,58 35,25 38,18 40,13 40,4 50,7 64,2 99,37 84,41 94,71 71,54 67,54 62,58 69,64 60,68 58,
83 69,74 78,87 76,25 62,22 60,18 54,24 42,44 35,41 26,45 21,82 7,91 38,83 46,71 44,62 32,58 35,25 38,18 40,13 40,4 50,7 64,2 99,37 84,41 94,71 71,54 67,54 62,58 69,64 60,68 58,
83 69,74 78,87 76,25 62,22 60,18 54,24 42,44 35,41 26,45 21,82 7,91 38,83 46,71 44,62 32,58 35,25 38,18 40,13 40,4 50,7 64,2 99,37 84,41 94,71 71,54 67,54 62,58 69,64 60,68 58,
83 69,74 78,87 76,25 62,22 60,18 54,24 42,44 35,41 26,45 21,82 7,91 38,83 46,71 44,62 32,58 35,25 38,18 40,13 40,4 50,7 64,2 99,37 84,41 94,71 71,54 67,54 62,58 69,64 60,68 58,
83 69,74 78,87 76,25 62,22 60,18 54,24 42,44 35,41 26,45 21,82 7,91 38,83 46,71 44,62 32,58 35,25 38,18 40,13 40,4 50,7 64,2 99,37 84,41 94,71 71,54 67,54 62,58 69,64 60,68 58,
83 69,74 78,87 76,25 62,22 60,18 54,24 42,44 35,41 26,45 21,82 7,91 38,83 46,71 44,62 32,58 35,25 38,18 40,13 40,4 50,7 64,2 99,37 84,41 94,71 71,54 67,54 62,58 69,64 60,68 58,
83 69,74 78,87 76,25 62,22 60,18 54,24 42,44 35,41 26,45 21,82 7,91 38,83 46,71 44,62 32,58 35,25 38,18 40,13 40,4 50,7 64,2 99,37 84,41 94,71 71,54 67,54 62,58 69,64 60,68 58,
83 69,74 78,87 76,25 62,22 60,18 54,24 42,44 35,41 26,45 21,82 7,91 38,83 46,71 44,62 32,58 35,25 38,18 40,13 40,4 50,7 64,2 99,37 84,41 94,71 71,54 67,54 62,58 69,64 60,68 58,
71 44,64 60,71 71,74 78,83 69,87 76,68 58,54 62,25 62,22 60,18 54,4 50,7 64,2 99,41 94,37 84,58 69,54 67,44 35,25 38,13 40,18 40,24 42,45 21,41 26,62 32,58 35,82 7,91 38,83 46,
71 44,64 60,71 71,74 78,83 69,87 76,68 58,54 62,25 62,22 60,18 54,4 50,7 64,2 99,41 94,37 84,58 69,54 67,44 35,25 38,13 40,18 40,24 42,45 21,41 26,62 32,58 35,82 7,91 38,83 46,
71 44,64 60,71 71,74 78,83 69,87 76,68 58,54 62,25 62,22 60,18 54,4 50,7 64,2 99,41 94,37 84,58 69,54 67,44 35,25 38,13 40,18 40,24 42,45 21,41 26,62 32,58 35,82 7,91 38,83 46,
71 44,64 60,71 71,74 78,83 69,87 76,68 58,54 62,25 62,22 60,18 54,4 50,7 64,2 99,41 94,37 84,58 69,54 67,44 35,25 38,13 40,18 40,24 42,45 21,41 26,62 32,58 35,82 7,91 38,83 46,
71 44,64 60,71 71,74 78,83 69,87 76,68 58,54 62,25 62,22 60,18 54,4 50,7 64,2 99,41 94,37 84,58 69,54 67,44 35,25 38,13 40,18 40,24 42,45 21,41 26,62 32,58 35,82 7,91 38,83 46,
71 44,64 60,71 71,74 78,83 69,87 76,68 58,54 62,25 62,22 60,18 54,4 50,7 64,2 99,41 94,37 84,58 69,54 67,44 35,25 38,13 40,18 40,24 42,45 21,41 26,62 32,58 35,82 7,91 38,83 46,
71 44,64 60,71 71,74 78,83 69,87 76,68 58,54 62,25 62,22 60,18 54,4 50,7 64,2 99,41 94,37 84,58 69,54 67,44 35,25 38,13 40,18 40,24 42,45 21,41 26,62 32,58 35,82 7,91 38,83 46,
71 44,64 60,71 71,74 78,83 69,87 76,68 58,54 62,25 62,22 60,18 54,4 50,7 64,2 99,41 94,37 84,58 69,54 67,44 35,25 38,13 40,18 40,24 42,45 21,41 26,62 32,58 35,82 7,91 38,83 46,
71 44,64 60,71 71,74 78,83 69,87 76,68 58,54 62,25 62,22 60,18 54,4 50,7 64,2 99,41 94,37 84,58 69,54 67,44 35,25 38,13 40,18 40,24 42,45 21,41 26,62 32,58 35,82 7,91 38,83 46,
71 44,64 60,71 71,74 78,83 69,87 76,68 58,54 62,25 62,22 60,18 54,4 50,7 64,2 99,41 94,37 84,58 69,54 67,44 35,25 38,13 40,18 40,24 42,45 21,41 26,62 32,58 35,82 7,91 38,83 46,
71 44,64 60,71 71,74 78,83 69,87 76,68 58,54 62,25 62,22 60,18 54,4 50,7 64,2 99,41 94,37 84,58 69,54 67,44 35,25 38,13 40,18 40,24 42,45 21,41 26,62 32,58 35,82 7,91 38,83 46,
