18 40,62 32,45 21,58 69,54 62,71 71,54 67,64 60,87 76,37 84,22 60,7 64,41 26,18 54,41 94,91 38,83 46,68 58,4 50,74 78,71 44,58 35,82 7,24 42,13 40,25 62,44 35,83 69,2 99,25 38,
82 7,45 21,41 26,62 32,58 35,44 35,25 38,18 54,25 62,22 60,7 64,4 50,18 40,13 40,24 42,2 99,41 94,37 84,58 69,74 78,91 38,83 46,71 71,54 67,54 62,64 60,68 58,87 76,83 69,71 44,
91 38,83 46,71 71,74 78,87 76,83 69,54 67,54 62,58 69,64 60,44 35,45 21,18 40,13 40,18 54,4 50,7 64,2 99,37 84,41 94,25 62,22 60,24 42,25 38,41 26,82 7,62 32,58 35,71 44,68 58,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
83 69,87 76,74 78,71 71,54 67,58 69,68 58,54 62,41 94,37 84,25 62,22 60,18 54,7 64,2 99,4 50,13 40,18 40,25 38,24 42,41 26,44 35,45 21,82 7,62 32,64 60,58 35,71 44,91 38,83 46,
4 50,7 64,2 99,37 84,41 94,58 69,54 67,54 62,64 60,83 46,83 69,87 76,74 78,71 71,68 58,71 44,82 7,91 38,62 32,58 35,18 40,13 40,18 54,22 60,25 62,44 35,45 21,41 26,24 42,25 38,
