58 69,37 84,2 99,13 40,71 44,58 35,68 58,24 42,54 62,83 46,87 76,83 69,91 38,54 67,22 60,25 38,18 40,4 50,62 32,71 71,18 54,25 62,64 60,41 94,7 64,44 35,45 21,74 78,82 7,41 26,
25 38,18 40,7 64,4 50,2 99,37 84,41 94,71 71,54 62,54 67,58 69,74 78,83 69,87 76,83 46,68 58,64 60,25 62,22 60,18 54,13 40,24 42,41 26,44 35,45 21,58 35,71 44,91 38,82 7,62 32,
54 67,37 84,41 94,2 99,7 64,25 62,18 54,25 38,24 42,41 26,45 21,44 35,62 32,71 44,68 58,87 76,74 78,83 69,83 46,91 38,82 7,58 35,18 40,13 40,4 50,22 60,58 69,71 71,64 60,54 62,
83 46,91 38,83 69,87 76,74 78,71 71,41 94,2 99,7 64,13 40,18 40,24 42,25 38,44 35,58 35,82 7,54 62,68 58,64 60,58 69,54 67,37 84,25 62,22 60,18 54,4 50,41 26,45 21,62 32,71 44,
83 46,91 38,83 69,87 76,74 78,71 71,41 94,2 99,7 64,13 40,18 40,24 42,25 38,44 35,58 35,82 7,54 62,68 58,64 60,58 69,54 67,37 84,25 62,22 60,18 54,4 50,41 26,45 21,62 32,71 44,
91 38,83 46,87 76,74 78,54 67,71 71,83 69,41 94,37 84,25 62,22 60,2 99,7 64,18 54,4 50,13 40,25 38,18 40,24 42,45 21,41 26,44 35,58 35,62 32,58 69,54 62,64 60,68 58,71 44,82 7,
83 46,68 58,64 60,58 69,54 67,54 62,25 62,13 40,4 50,7 64,2 99,41 94,37 84,18 40,25 38,24 42,18 54,22 60,71 71,74 78,87 76,83 69,71 44,62 32,58 35,45 21,44 35,41 26,82 7,91 38,
83 46,68 58,64 60,58 69,54 67,54 62,25 62,13 40,4 50,7 64,2 99,41 94,37 84,18 40,25 38,24 42,18 54,22 60,71 71,74 78,87 76,83 69,71 44,62 32,58 35,45 21,44 35,41 26,82 7,91 38,
83 46,68 58,64 60,58 69,54 67,54 62,25 62,13 40,4 50,7 64,2 99,41 94,37 84,18 40,25 38,24 42,18 54,22 60,71 71,74 78,87 76,83 69,71 44,62 32,58 35,45 21,44 35,41 26,82 7,91 38,
83 46,68 58,64 60,58 69,54 67,54 62,25 62,13 40,4 50,7 64,2 99,41 94,37 84,18 40,25 38,24 42,18 54,22 60,71 71,74 78,87 76,83 69,71 44,62 32,58 35,45 21,44 35,41 26,82 7,91 38,
83 46,68 58,64 60,58 69,54 67,54 62,25 62,13 40,4 50,7 64,2 99,41 94,37 84,18 40,25 38,24 42,18 54,22 60,71 71,74 78,87 76,83 69,71 44,62 32,58 35,45 21,44 35,41 26,82 7,91 38,
