91 38,64 60,24 42,18 54,2 99,25 62,18 40,13 40,25 38,62 32,58 69,44 35,45 21,82 7,68 58,87 76,37 84,4 50,41 94,7 64,71 44,54 67,22 60,58 35,54 62,83 69,71 71,41 26,83 46,74 78,
2 99,7 64,25 62,22 60,13 40,41 26,58 35,62 32,71 44,44 35,25 38,18 54,4 50,18 40,24 42,45 21,82 7,91 38,83 46,68 58,54 62,58 69,54 67,64 60,83 69,87 76,74 78,71 71,41 94,37 84,
2 99,7 64,25 62,22 60,13 40,41 26,58 35,62 32,71 44,44 35,25 38,18 54,4 50,18 40,24 42,45 21,82 7,91 38,83 46,68 58,54 62,58 69,54 67,64 60,83 69,87 76,74 78,71 71,41 94,37 84,
2 99,7 64,25 62,22 60,13 40,41 26,58 35,62 32,71 44,44 35,25 38,18 54,4 50,18 40,24 42,45 21,82 7,91 38,83 46,68 58,54 62,58 69,54 67,64 60,83 69,87 76,74 78,71 71,41 94,37 84,
2 99,7 64,25 62,22 60,13 40,41 26,58 35,62 32,71 44,44 35,25 38,18 54,4 50,18 40,24 42,45 21,82 7,91 38,83 46,68 58,54 62,58 69,54 67,64 60,83 69,87 76,74 78,71 71,41 94,37 84,
2 99,7 64,25 62,22 60,13 40,41 26,58 35,62 32,71 44,44 35,25 38,18 54,4 50,18 40,24 42,45 21,82 7,91 38,83 46,68 58,54 62,58 69,54 67,64 60,83 69,87 76,74 78,71 71,41 94,37 84,
2 99,7 64,25 62,22 60,13 40,41 26,58 35,62 32,71 44,44 35,25 38,18 54,4 50,18 40,24 42,45 21,82 7,91 38,83 46,68 58,54 62,58 69,54 67,64 60,83 69,87 76,74 78,71 71,41 94,37 84,
2 99,7 64,25 62,22 60,13 40,41 26,58 35,62 32,71 44,44 35,25 38,18 54,4 50,18 40,24 42,45 21,82 7,91 38,83 46,68 58,54 62,58 69,54 67,64 60,83 69,87 76,74 78,71 71,41 94,37 84,
2 99,7 64,25 62,22 60,13 40,41 26,58 35,62 32,71 44,44 35,25 38,18 54,4 50,18 40,24 42,45 21,82 7,91 38,83 46,68 58,54 62,58 69,54 67,64 60,83 69,87 76,74 78,71 71,41 94,37 84,
62 32,82 7,91 38,83 46,71 44,71 71,58 69,54 67,37 84,41 94,2 99,7 64,25 62,22 60,18 54,45 21,41 26,13 40,4 50,18 40,24 42,25 38,44 35,83 69,87 76,74 78,54 62,64 60,68 58,58 35,
62 32,82 7,91 38,83 46,71 44,71 71,58 69,54 67,37 84,41 94,2 99,7 64,25 62,22 60,18 54,45 21,41 26,13 40,4 50,18 40,24 42,25 38,44 35,83 69,87 76,74 78,54 62,64 60,68 58,58 35,
62 32,82 7,91 38,83 46,71 44,71 71,58 69,54 67,37 84,41 94,2 99,7 64,25 62,22 60,18 54,45 21,41 26,13 40,4 50,18 40,24 42,25 38,44 35,83 69,87 76,74 78,54 62,64 60,68 58,58 35,
62 32,82 7,91 38,83 46,71 44,71 71,58 69,54 67,37 84,41 94,2 99,7 64,25 62,22 60,18 54,45 21,41 26,13 40,4 50,18 40,24 42,25 38,44 35,83 69,87 76,74 78,54 62,64 60,68 58,58 35,
62 32,82 7,91 38,83 46,71 44,71 71,58 69,54 67,37 84,41 94,2 99,7 64,25 62,22 60,18 54,45 21,41 26,13 40,4 50,18 40,24 42,25 38,44 35,83 69,87 76,74 78,54 62,64 60,68 58,58 35,
62 32,82 7,91 38,83 46,71 44,71 71,58 69,54 67,37 84,41 94,2 99,7 64,25 62,22 60,18 54,45 21,41 26,13 40,4 50,18 40,24 42,25 38,44 35,83 69,87 76,74 78,54 62,64 60,68 58,58 35,
62 32,82 7,91 38,83 46,71 44,71 71,58 69,54 67,37 84,41 94,2 99,7 64,25 62,22 60,18 54,45 21,41 26,13 40,4 50,18 40,24 42,25 38,44 35,83 69,87 76,74 78,54 62,64 60,68 58,58 35,
62 32,82 7,91 38,83 46,71 44,71 71,58 69,54 67,37 84,41 94,2 99,7 64,25 62,22 60,18 54,45 21,41 26,13 40,4 50,18 40,24 42,25 38,44 35,83 69,87 76,74 78,54 62,64 60,68 58,58 35,
83 69,41 94,37 84,7 64,2 99,25 62,22 60,18 54,4 50,13 40,24 42,18 40,25 38,44 35,58 35,62 32,41 26,45 21,82 7,91 38,74 78,58 69,54 67,54 62,64 60,68 58,71 44,83 46,87 76,71 71,
83 69,41 94,37 84,7 64,2 99,25 62,22 60,18 54,4 50,13 40,24 42,18 40,25 38,44 35,58 35,62 32,41 26,45 21,82 7,91 38,74 78,58 69,54 67,54 62,64 60,68 58,71 44,83 46,87 76,71 71,
83 69,41 94,37 84,7 64,2 99,25 62,22 60,18 54,4 50,13 40,24 42,18 40,25 38,44 35,58 35,62 32,41 26,45 21,82 7,91 38,74 78,58 69,54 67,54 62,64 60,68 58,71 44,83 46,87 76,71 71,
83 69,41 94,37 84,7 64,2 99,25 62,22 60,18 54,4 50,13 40,24 42,18 40,25 38,44 35,58 35,62 32,41 26,45 21,82 7,91 38,74 78,58 69,54 67,54 62,64 60,68 58,71 44,83 46,87 76,71 71,
