2 99,82 7,41 94,37 84,13 40,4 50,18 54,25 62,91 38,71 44,58 35,58 69,54 62,41 26,45 21,18 40,25 38,7 64,54 67,87 76,68 58,64 60,83 46,83 69,71 71,74 78,62 32,44 35,24 42,22 60,
2 99,7 64,37 84,41 94,74 78,87 76,83 69,71 71,64 60,68 58,58 69,54 62,54 67,83 46,71 44,22 60,18 54,4 50,13 40,18 40,25 38,24 42,41 26,45 21,44 35,58 35,91 38,82 7,62 32,25 62,
58 69,74 78,87 76,83 69,83 46,91 38,82 7,62 32,44 35,25 38,24 42,13 40,18 40,4 50,7 64,2 99,37 84,41 94,25 62,22 60,18 54,58 35,71 44,71 71,64 60,68 58,45 21,41 26,54 62,54 67,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
45 21,41 26,24 42,25 38,44 35,62 32,58 35,68 58,87 76,83 69,74 78,71 71,64 60,54 67,58 69,41 94,2 99,7 64,4 50,13 40,18 40,18 54,22 60,25 62,37 84,54 62,71 44,83 46,91 38,82 7,
