74 78,83 46,83 69,91 38,18 40,4 50,22 60,2 99,7 64,62 32,24 42,71 71,54 67,41 26,87 76,82 7,64 60,68 58,37 84,41 94,58 69,58 35,54 62,25 62,44 35,45 21,13 40,25 38,18 54,71 44,
41 26,44 35,24 42,25 38,58 35,62 32,71 71,74 78,87 76,83 69,68 58,54 67,54 62,25 62,18 54,13 40,18 40,4 50,7 64,22 60,2 99,41 94,37 84,58 69,64 60,83 46,71 44,91 38,82 7,45 21,
41 26,44 35,24 42,25 38,58 35,62 32,71 71,74 78,87 76,83 69,68 58,54 67,54 62,25 62,18 54,13 40,18 40,4 50,7 64,22 60,2 99,41 94,37 84,58 69,64 60,83 46,71 44,91 38,82 7,45 21,
41 26,44 35,24 42,25 38,58 35,62 32,71 71,74 78,87 76,83 69,68 58,54 67,54 62,25 62,18 54,13 40,18 40,4 50,7 64,22 60,2 99,41 94,37 84,58 69,64 60,83 46,71 44,91 38,82 7,45 21,
41 26,44 35,24 42,25 38,58 35,62 32,71 71,74 78,87 76,83 69,68 58,54 67,54 62,25 62,18 54,13 40,18 40,4 50,7 64,22 60,2 99,41 94,37 84,58 69,64 60,83 46,71 44,91 38,82 7,45 21,
41 26,44 35,24 42,25 38,58 35,62 32,71 71,74 78,87 76,83 69,68 58,54 67,54 62,25 62,18 54,13 40,18 40,4 50,7 64,22 60,2 99,41 94,37 84,58 69,64 60,83 46,71 44,91 38,82 7,45 21,
41 26,44 35,24 42,25 38,58 35,62 32,71 71,74 78,87 76,83 69,68 58,54 67,54 62,25 62,18 54,13 40,18 40,4 50,7 64,22 60,2 99,41 94,37 84,58 69,64 60,83 46,71 44,91 38,82 7,45 21,
13 40,4 50,18 40,7 64,22 60,18 54,25 62,2 99,37 84,41 94,58 69,54 62,54 67,74 78,71 71,71 44,83 46,87 76,83 69,64 60,68 58,91 38,82 7,41 26,45 21,62 32,58 35,44 35,25 38,24 42,
13 40,4 50,18 40,7 64,22 60,18 54,25 62,2 99,37 84,41 94,58 69,54 62,54 67,74 78,71 71,71 44,83 46,87 76,83 69,64 60,68 58,91 38,82 7,41 26,45 21,62 32,58 35,44 35,25 38,24 42,
58 69,64 60,37 84,41 94,2 99,7 64,18 54,22 60,24 42,25 38,18 40,13 40,4 50,25 62,54 62,54 67,74 78,87 76,83 69,71 71,68 58,71 44,91 38,82 7,45 21,44 35,41 26,58 35,62 32,83 46,
58 69,64 60,37 84,41 94,2 99,7 64,18 54,22 60,24 42,25 38,18 40,13 40,4 50,25 62,54 62,54 67,74 78,87 76,83 69,71 71,68 58,71 44,91 38,82 7,45 21,44 35,41 26,58 35,62 32,83 46,
