Run,Route
0,18 40 13 40 4 50 25 38 24 42 18 54 7 64 2 99 37 84 25 62 22 60 45 21 41 26 58 35 62 32 91 38 82 7 71 44 71 71 74 78 58 69 54 67 68 58 83 69 87 76 83 46 64 60 41 94 54 62 44 35 
1,74 78 71 71 87 76 83 69 91 38 83 46 82 7 41 26 45 21 44 35 58 35 62 32 24 42 4 50 18 54 41 94 37 84 25 62 22 60 2 99 7 64 13 40 18 40 25 38 58 69 54 67 54 62 71 44 64 60 68 58 
2,87 76 62 32 82 7 64 60 71 44 83 46 91 38 58 35 44 35 45 21 41 26 4 50 25 38 13 40 18 40 24 42 18 54 22 60 25 62 7 64 37 84 2 99 41 94 74 78 83 69 71 71 68 58 58 69 54 62 54 67 
3,25 38 4 50 7 64 2 99 41 94 71 71 87 76 83 69 82 7 91 38 83 46 58 35 62 32 71 44 25 62 58 69 74 78 68 58 64 60 54 62 54 67 37 84 22 60 18 54 13 40 18 40 41 26 45 21 44 35 24 42 
4,18 54 41 94 37 84 58 69 54 67 54 62 64 60 68 58 45 21 58 35 62 32 71 44 71 71 74 78 87 76 83 69 83 46 91 38 82 7 25 38 13 40 4 50 7 64 2 99 18 40 44 35 22 60 24 42 41 26 25 62 
5,83 69 71 71 74 78 54 62 54 67 64 60 18 40 13 40 4 50 7 64 18 54 22 60 25 62 58 69 41 94 37 84 2 99 24 42 44 35 71 44 58 35 41 26 45 21 62 32 25 38 82 7 91 38 83 46 68 58 87 76 
6,4 50 25 38 44 35 41 26 58 35 71 44 64 60 58 69 71 71 74 78 83 69 87 76 68 58 62 32 83 46 91 38 82 7 45 21 22 60 25 62 41 94 37 84 54 67 54 62 2 99 7 64 18 54 24 42 18 40 13 40 
7,58 35 24 42 18 54 4 50 13 40 7 64 25 62 58 69 54 67 41 94 2 99 22 60 18 40 25 38 44 35 45 21 41 26 82 7 91 38 83 46 71 44 71 71 68 58 87 76 83 69 74 78 37 84 54 62 64 60 62 32 
8,45 21 58 35 68 58 83 69 71 71 37 84 41 94 74 78 87 76 83 46 91 38 71 44 58 69 54 67 64 60 54 62 25 62 22 60 18 54 7 64 2 99 4 50 13 40 25 38 24 42 18 40 41 26 44 35 82 7 62 32 
9,41 94 2 99 7 64 91 38 83 46 71 44 62 32 82 7 45 21 41 26 64 60 68 58 74 78 54 67 58 69 71 71 83 69 87 76 54 62 58 35 44 35 13 40 25 38 18 40 24 42 18 54 4 50 25 62 22 60 37 84 
10,24 42 13 40 18 40 4 50 7 64 2 99 18 54 22 60 25 62 54 67 68 58 58 69 71 71 74 78 87 76 71 44 83 69 41 94 37 84 54 62 64 60 83 46 62 32 58 35 45 21 41 26 82 7 91 38 44 35 25 38 
11,37 84 41 94 74 78 71 71 83 69 87 76 64 60 58 69 54 67 91 38 62 32 82 7 45 21 41 26 25 38 7 64 22 60 25 62 24 42 18 40 58 35 44 35 83 46 71 44 68 58 54 62 18 54 13 40 4 50 2 99 
12,2 99 41 94 74 78 83 69 87 76 71 71 68 58 83 46 25 38 18 54 24 42 18 40 13 40 22 60 25 62 37 84 54 62 58 69 54 67 64 60 58 35 62 32 82 7 91 38 71 44 45 21 41 26 44 35 4 50 7 64 
13,54 62 68 58 83 69 83 46 71 71 64 60 54 67 74 78 87 76 91 38 71 44 58 35 44 35 41 26 24 42 37 84 41 94 2 99 7 64 25 62 18 40 13 40 4 50 18 54 22 60 25 38 45 21 82 7 62 32 58 69 
14,58 35 71 44 83 46 91 38 82 7 62 32 44 35 45 21 41 26 18 40 25 38 13 40 18 54 22 60 25 62 37 84 87 76 68 58 41 94 2 99 4 50 7 64 24 42 54 62 64 60 74 78 83 69 71 71 54 67 58 69 
15,41 26 25 38 44 35 71 44 83 46 87 76 83 69 71 71 64 60 74 78 68 58 54 62 37 84 41 94 2 99 7 64 24 42 13 40 18 40 18 54 4 50 22 60 25 62 54 67 58 69 91 38 82 7 45 21 62 32 58 35 
16,18 54 4 50 18 40 13 40 25 38 54 62 37 84 41 94 2 99 58 69 87 76 83 69 68 58 71 71 64 60 54 67 74 78 83 46 91 38 71 44 58 35 45 21 82 7 62 32 41 26 44 35 24 42 7 64 22 60 25 62 
17,87 76 74 78 41 94 2 99 58 69 68 58 83 69 62 32 58 35 45 21 41 26 44 35 82 7 83 46 91 38 71 44 37 84 22 60 25 62 18 54 7 64 4 50 25 38 24 42 18 40 13 40 64 60 54 67 54 62 71 71 
18,82 7 83 46 91 38 58 35 45 21 41 26 18 54 22 60 25 62 44 35 24 42 18 40 13 40 25 38 7 64 4 50 2 99 37 84 41 94 74 78 83 69 87 76 64 60 54 67 58 69 71 71 54 62 68 58 71 44 62 32 
19,2 99 7 64 4 50 18 40 13 40 25 38 24 42 22 60 25 62 18 54 64 60 71 71 54 67 74 78 83 69 68 58 58 69 41 94 44 35 45 21 41 26 82 7 91 38 83 46 87 76 71 44 62 32 58 35 54 62 37 84 
