Run,Route
0,44 35 62 32 58 35 18 54 25 38 24 42 18 40 13 40 4 50 7 64 25 62 22 60 2 99 37 84 41 94 54 67 54 62 58 69 74 78 83 69 87 76 71 71 68 58 64 60 71 44 83 46 91 38 82 7 45 21 41 26 
1,25 62 37 84 2 99 41 94 54 67 58 69 54 62 64 60 68 58 74 78 71 71 87 76 83 69 71 44 82 7 91 38 83 46 62 32 58 35 24 42 44 35 41 26 45 21 25 38 18 40 13 40 4 50 7 64 18 54 22 60 
2,7 64 4 50 18 54 22 60 25 62 13 40 18 40 24 42 25 38 45 21 41 26 44 35 58 35 82 7 62 32 64 60 54 62 71 71 83 69 87 76 74 78 68 58 91 38 83 46 71 44 58 69 54 67 37 84 41 94 2 99 
3,2 99 7 64 22 60 25 62 18 54 4 50 13 40 18 40 24 42 25 38 44 35 41 26 45 21 58 35 62 32 91 38 82 7 71 44 68 58 71 71 58 69 54 62 54 67 64 60 83 46 87 76 83 69 74 78 41 94 37 84 
4,91 38 83 46 71 44 68 58 64 60 54 62 54 67 58 69 71 71 74 78 87 76 83 69 37 84 41 94 2 99 7 64 22 60 25 62 18 54 4 50 24 42 25 38 18 40 13 40 45 21 41 26 44 35 58 35 62 32 82 7 
5,91 38 83 46 71 44 68 58 83 69 87 76 74 78 71 71 64 60 54 62 58 69 54 67 37 84 41 94 2 99 4 50 7 64 18 54 25 62 13 40 22 60 18 40 24 42 25 38 44 35 41 26 45 21 58 35 62 32 82 7 
6,71 44 83 46 91 38 82 7 62 32 58 35 44 35 24 42 18 40 4 50 13 40 25 38 45 21 41 26 25 62 7 64 18 54 22 60 2 99 41 94 37 84 54 62 54 67 58 69 74 78 71 71 87 76 83 69 64 60 68 58 
7,44 35 25 38 24 42 37 84 41 94 2 99 7 64 4 50 18 40 13 40 18 54 22 60 25 62 58 35 82 7 91 38 83 46 68 58 64 60 54 67 58 69 54 62 71 71 74 78 87 76 83 69 71 44 62 32 45 21 41 26 
8,37 84 2 99 7 64 22 60 18 54 25 62 4 50 18 40 13 40 25 38 24 42 44 35 41 26 45 21 58 35 62 32 82 7 91 38 83 46 71 44 64 60 54 67 54 62 68 58 71 71 83 69 87 76 74 78 58 69 41 94 
9,44 35 58 35 41 26 45 21 62 32 82 7 83 46 91 38 71 44 54 62 68 58 71 71 74 78 87 76 83 69 64 60 54 67 58 69 37 84 41 94 2 99 7 64 4 50 18 40 13 40 18 54 22 60 25 62 24 42 25 38 
10,25 38 24 42 13 40 4 50 7 64 2 99 41 94 37 84 58 69 54 67 54 62 64 60 71 71 83 69 87 76 74 78 68 58 62 32 82 7 91 38 83 46 71 44 58 35 45 21 44 35 41 26 25 62 22 60 18 54 18 40 
11,82 7 71 44 58 35 62 32 41 26 44 35 45 21 25 38 24 42 13 40 18 40 22 60 25 62 18 54 4 50 7 64 2 99 41 94 37 84 54 62 64 60 68 58 71 71 54 67 58 69 74 78 83 69 87 76 83 46 91 38 
12,18 40 41 26 45 21 58 35 71 44 87 76 83 69 74 78 71 71 64 60 68 58 83 46 91 38 82 7 62 32 44 35 54 62 58 69 54 67 37 84 41 94 2 99 7 64 4 50 25 62 22 60 18 54 13 40 24 42 25 38 
13,71 71 83 69 87 76 74 78 37 84 54 67 58 69 68 58 83 46 71 44 91 38 82 7 62 32 58 35 44 35 45 21 41 26 25 38 24 42 13 40 18 40 22 60 25 62 18 54 4 50 7 64 2 99 41 94 54 62 64 60 
14,2 99 41 94 37 84 25 62 22 60 54 67 64 60 54 62 58 69 68 58 71 71 83 69 74 78 87 76 83 46 91 38 82 7 71 44 58 35 62 32 45 21 41 26 44 35 25 38 18 54 24 42 18 40 13 40 4 50 7 64 
15,18 40 13 40 25 38 44 35 45 21 41 26 82 7 91 38 83 46 71 44 68 58 64 60 71 71 87 76 74 78 83 69 58 35 62 32 54 62 58 69 54 67 41 94 37 84 2 99 7 64 4 50 22 60 25 62 18 54 24 42 
16,25 38 41 26 45 21 82 7 91 38 71 44 62 32 58 35 44 35 83 46 68 58 54 62 58 69 74 78 87 76 83 69 71 71 64 60 54 67 41 94 37 84 2 99 7 64 22 60 18 54 25 62 4 50 13 40 18 40 24 42 
17,71 44 83 46 91 38 83 69 74 78 71 71 87 76 64 60 68 58 54 62 58 69 54 67 37 84 41 94 2 99 7 64 4 50 18 54 22 60 25 62 24 42 18 40 13 40 25 38 44 35 82 7 45 21 41 26 62 32 58 35 
18,25 38 41 26 45 21 82 7 91 38 83 46 62 32 58 35 44 35 68 58 64 60 71 44 54 62 54 67 58 69 71 71 83 69 87 76 74 78 41 94 37 84 2 99 7 64 25 62 22 60 18 54 4 50 13 40 18 40 24 42 
19,87 76 83 69 68 58 64 60 54 62 58 69 54 67 71 44 58 35 62 32 82 7 91 38 83 46 45 21 44 35 41 26 25 38 24 42 18 40 13 40 4 50 22 60 18 54 25 62 7 64 2 99 37 84 41 94 74 78 71 71 
